—татистика полученных координат по блокам на 27.12.2016 17:50 
 
SerialNo;Date;GPS Count
--------;----;---------
MCK01901;2016-12-04;12011
MCK01901;2016-12-05;7637
MCK01901;2016-12-06;10652
MCK01901;2016-12-07;9973
MCK01901;2016-12-08;3
MCK01901;2016-12-19;4733
MCK01901;2016-12-21;1009
MCK01901;2016-12-23;2477
MCK01901;2016-12-26;6
MCK01901;2016-12-27;4751
MCK01905;2016-12-09;18507
MCK01905;2016-12-10;46646
MCK01905;2016-12-11;13419
MCK01905;2016-12-12;16273
MCK01905;2016-12-13;221
MCK01905;2016-12-14;525
MCK01905;2016-12-15;17358
MCK01905;2016-12-16;5886
MCK01905;2016-12-18;17023
MCK01905;2016-12-19;20370
MCK01905;2016-12-20;41940
MCK01905;2016-12-21;18210
MCK01905;2016-12-22;22091
MCK01905;2016-12-23;30955
MCK01905;2016-12-24;13683
MCK01905;2016-12-25;12885
MCK01905;2016-12-26;13655
MCK01905;2016-12-27;15823
MCK03301;2016-12-10;457
MCK03301;2016-12-13;9220
MCK03301;2016-12-14;207
MCK03301;2016-12-15;63
MCK03301;2016-12-16;83
MCK03301;2016-12-19;2275
MCK03701;2016-11-28;3497
MCK03701;2016-11-29;20074
MCK03701;2016-11-30;34081
MCK03701;2016-12-01;14142
MCK03701;2016-12-02;159
MCK03701;2016-12-03;89
MCK03701;2016-12-04;13
MCK03701;2016-12-06;27
MCK03701;2016-12-08;463
MCK03701;2016-12-09;789
MCK03701;2016-12-10;8985
MCK03701;2016-12-11;6
MCK03701;2016-12-12;623
MCK03701;2016-12-13;22352
MCK03701;2016-12-14;37539
MCK03701;2016-12-15;36382
MCK03701;2016-12-16;5431
MCK03701;2016-12-19;27
MCK03701;2016-12-20;76
MCK03701;2016-12-21;455
MCK03701;2016-12-22;27164
MCK03701;2016-12-23;23860
MCK03701;2016-12-24;6698
MCK03701;2016-12-25;12548
MCK03701;2016-12-26;3891
MCK03701;2016-12-27;19960
MCK03705;2016-11-23;586
MCK03705;2016-11-24;75
MCK03705;2016-11-25;928
MCK03705;2016-11-27;1
MCK03705;2016-11-28;406
MCK03705;2016-11-29;45
MCK03705;2016-11-30;1779
MCK03705;2016-12-01;4642
MCK03705;2016-12-02;610
MCK03705;2016-12-04;884
MCK03705;2016-12-05;871
MCK03705;2016-12-06;1134
MCK03705;2016-12-07;1426
MCK03705;2016-12-08;415
MCK03705;2016-12-09;115
MCK03705;2016-12-10;276
MCK03705;2016-12-12;575
MCK03705;2016-12-13;258
MCK03705;2016-12-18;67
MCK03705;2016-12-21;127
MCK03705;2016-12-24;600
MCK04401;2016-11-25;65
MCK04401;2016-11-26;11952
MCK04401;2016-11-27;13137
MCK04401;2016-11-28;19462
MCK04401;2016-11-29;36994
MCK04401;2016-11-30;7060
MCK04401;2016-12-01;20114
MCK04401;2016-12-02;17715
MCK04401;2016-12-03;15563
MCK04401;2016-12-04;2
MCK04401;2016-12-05;21807
MCK04401;2016-12-06;30566
MCK04401;2016-12-07;17686
MCK04401;2016-12-08;2535
MCK04401;2016-12-09;11514
MCK04401;2016-12-10;41026
MCK04401;2016-12-11;19670
MCK04401;2016-12-12;20213
MCK04401;2016-12-13;35204
MCK04401;2016-12-14;35380
MCK04401;2016-12-15;31938
MCK04401;2016-12-16;5751
MCK04401;2016-12-18;16337
MCK04401;2016-12-19;11503
MCK04401;2016-12-20;36302
MCK04401;2016-12-21;38342
MCK04401;2016-12-22;34743
MCK04401;2016-12-23;638
MCK04401;2016-12-24;7050
MCK04401;2016-12-25;46584
MCK04401;2016-12-26;9992
MCK04401;2016-12-27;23016
MCK04601;2016-12-27;45
MCK04605;2016-12-27;15

(115 rows affected)
